Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
46;M;2015;Henri;46
12;F;2015;Isabelle;12
5;F;2015;Jane;5
6;F;2015;Janna;6
8;M;2015;Jessim;8
8;M;2015;Johann;8
31;M;2015;Julien;31
149;F;2015;Juliette;149
7;M;2015;Kendrick;7
58;F;2015;Laura;58
9;F;2015;Leïla;9
6;F;2015;Leonor;6
6;F;2015;Loane;6
47;F;2015;Lola;47
6;M;2015;Loup;6
32;M;2015;Luca;32
11;F;2015;Luce;11
5;F;2015;Maissa;5
35;M;2015;Matteo;35
25;F;2015;Mélina;25
5;M;2015;Moulay;5
41;F;2015;Myriam;41
84;M;2015;Naël;84
24;M;2015;Nino;24
14;F;2015;Noor;14
79;F;2015;Nour;79
5;F;2015;Nourane;5
16;M;2015;Pablo;16
5;M;2015;Ramy;5
9;F;2015;Serena;9
7;F;2015;Shirel;7
14;M;2015;Sofiane;14
6;F;2015;Sofya;6
19;F;2015;Soline;19
67;M;2015;Ulysse;67
6;F;2015;Zoë;6
17;M;2016;Abdoulaye;17
20;M;2016;Aboubacar;20
74;M;2016;Adrien;74
8;F;2016;Agnès;8
7;M;2016;Aimé;7
9;F;2016;Amalia;9
16;F;2016;Astrid;16
5;F;2016;Athénaïs;5
5;F;2016;Ayana;5
16;M;2016;Bilal;16
9;M;2016;Bilel;9
5;M;2016;Chahine;5
11;M;2016;Colin;11
23;M;2016;Diego;23
10;M;2016;El;10
22;M;2016;Émile;22
32;M;2016;Ernest;32
5;M;2016;Flavio;5
5;F;2016;Frida;5
6;M;2016;Giulian;6
5;F;2016;Hania;5
7;M;2016;Harry;7
6;M;2016;Jassim;6
10;M;2016;Jérémie;10
19;M;2016;Johan;19
29;M;2016;Joshua;29
6;F;2016;Kadiatou;6
5;M;2016;Killian;5
7;F;2016;Leila;7
12;F;2016;Leyna;12
5;F;2016;Liz;5
157;M;2016;Lucas;157
15;F;2016;Lucy;15
14;F;2016;Malak;14
5;M;2016;Manil;5
103;F;2016;Mathilde;103
78;M;2016;Maxence;78
10;F;2016;Mayssa;10
116;F;2016;Mila;116
11;F;2016;Naomie;11
9;F;2016;Nicole;9
25;M;2016;Nils;25
30;M;2016;Nino;30
33;F;2016;Noa;59
7;F;2016;Patricia;7
23;M;2016;Ryan;23
16;M;2016;Salim;16
43;F;2016;Sara;43
9;F;2016;Serena;9
6;M;2016;Shay;6
99;M;2016;Thomas;99
9;M;2016;Tony;9
9;M;2016;Xavier;9
9;M;2017;Adil;9
11;F;2017;Aïssata;11
201;F;2017;Alice;201
6;M;2017;Aloïs;6
36;M;2017;Anatole;36
44;M;2017;Andrea;44
5;F;2017;Anne-Marie;5
9;M;2017;Arthus;9
19;F;2017;Athénaïs;19
5;F;2017;Aurélie;5
17;M;2017;Bastien;17
6;M;2017;Brieuc;6
5;F;2017;Caroline;5
6;M;2017;Charly;6
5;F;2017;Christina;5
8;F;2017;Cléa;8
7;M;2017;Clovis;7
7;F;2017;Divine;7
56;M;2017;Eden;56
5;M;2017;Edmond;5
13;M;2017;Eliot;13
12;M;2017;Elliott;12
14;F;2017;Éloïse;14
18;F;2017;Émilie;18
14;F;2017;Estelle;14
19;F;2017;Eugénie;19
9;F;2017;Eya;9
5;F;2017;Gina;5
13;F;2017;Hafsa;13
23;F;2017;Hana;23
5;M;2017;Hédi;5
42;M;2017;Ilyes;42
63;F;2017;Léna;63
221;F;2017;Louise;221
56;M;2017;Lucien;56
5;F;2017;Luisa;5
5;F;2017;Lynn;5
8;F;2017;Maeva;8
6;M;2017;Mahdi;6
29;M;2017;Marc;29
63;F;2017;Marie;63
5;M;2017;Mazen;5
7;M;2017;Mendel;7
33;F;2017;Myriam;33
9;F;2017;Nadia;9
5;M;2017;Neyl;5
37;M;2017;Nicolas;37
59;M;2017;Nolan;59
9;M;2017;Racim;9
40;F;2017;Raphaëlle;40
7;F;2017;Safa;7
17;M;2017;Sandro;17
5;M;2017;Selyan;5
96;M;2017;Simon;96
45;F;2017;Sophia;45
23;M;2017;Tiago;23
6;F;2017;Yaël;6
8;M;2017;Yahya;8
7;F;2018;Ada;7
20;M;2018;Alban;20
18;F;2018;Amy;18
14;M;2018;Andréa;14
22;M;2018;Anton;22
33;M;2018;Aylan;33
21;F;2018;Bianca;21
6;M;2018;Blaise;6
17;F;2018;Cassandre;17
8;F;2018;Cassiopée;8
6;F;2018;Catherine;6
19;F;2018;Céline;19
19;F;2018;Charline;19
18;F;2018;Clémentine;18
14;F;2018;Elia;14
22;F;2018;Eloïse;22
10;F;2018;Elyne;10
189;F;2018;Emma;189
5;F;2018;Enéa;5
7;F;2018;Eya;7
8;F;2018;Félicie;8
20;M;2018;Ferdinand;20
5;F;2018;Feriel;5
51;M;2018;Gabin;51
11;F;2018;Gabriella;11
9;M;2018;Hedi;9
9;F;2018;Hiba;9
7;M;2018;Idrissa;7
25;M;2018;Ilyas;25
17;M;2018;Iyed;17
16;F;2018;Joy;16
143;M;2018;Léo;143
37;F;2018;Léonore;37
7;F;2018;Léontine;7
10;F;2018;Lilou;10
13;F;2018;Lilya;13
85;F;2018;Lou;97
9;M;2018;Louison;9
22;F;2018;Louna;22
23;M;2018;Luka;23
15;F;2018;Malak;15
7;F;2018;Malia;7
66;M;2018;Marceau;66
43;F;2018;Maryam;43
67;F;2018;Mathilde;67
14;F;2018;Mélina;14
9;F;2018;Miya;9
6;M;2018;Mohamed-Lamine;6
6;F;2018;Octavie;6
110;F;2018;Olivia;110
10;M;2018;Olivier;10
12;M;2018;Orso;12
14;F;2018;Paola;14
203;M;2018;Paul;203
41;F;2018;Raphaëlle;41
19;M;2018;Sami;19
6;M;2018;Selim;6
